192.168.2.21 - - [05/Jul/2018:13:30:03 +0800] "GET /hp/device/InternalPages/Index?id=ConfigurationPage HTTP/1.1" 404 161
127.0.0.1 - - [05/Jul/2018:15:38:24 +0800] "GET /r/collect?v=1&_v=j43&a=913996512&t=event&_s=1&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=source&ea=show&el=gold&_u=SACAAEABI~&jid=932613184&cid=2113711572.1500619903&tid=UA-61022745-2&_r=1&z=1183875385 HTTP/1.1" 404 141
127.0.0.1 - - [05/Jul/2018:15:38:24 +0800] "GET /collect?v=1&_v=j43&a=913996512&t=event&_s=5&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=banner&ea=show&el=https%3A%2F%2Fcn.udacity.com%2Fcourse%2Fblockchain-developer-nanodegree--nd1309%3Futm_source%3Djuejin-gold_browser_extension%26utm_medium%3Dbanner%26utm_campaign%3Dbdnd&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=728668273 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:15:38:24 +0800] "GET /collect?v=1&_v=j43&a=913996512&t=event&_s=6&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=banner&ea=show&el=https%3A%2F%2Fcn.udacity.com%2Fcourse%2Fblockchain-developer-nanodegree--nd1309%3Futm_source%3Djuejin-gold_browser_extension%26utm_medium%3Dbanner%26utm_campaign%3Dbdnd&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=205387894 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:15:45:33 +0800] "GET /collect?v=1&_v=j43&a=913996512&t=event&_s=7&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=source&ea=fetch&el=ui&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=1606503523 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:15:45:55 +0800] "GET /collect?v=1&_v=j43&a=913996512&t=event&_s=8&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=source&ea=fetch&el=ui&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=287350054 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:15:52:16 +0800] "GET /r/collect?v=1&_v=j43&a=145830111&t=event&_s=1&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=source&ea=show&el=gold&_u=SACAAEABI~&jid=494590658&cid=2113711572.1500619903&tid=UA-61022745-2&_r=1&z=1544444294 HTTP/1.1" 404 141
127.0.0.1 - - [05/Jul/2018:15:52:16 +0800] "GET /collect?v=1&_v=j43&a=145830111&t=event&_s=2&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=source&ea=show&el=ui&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=1013818504 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:15:52:16 +0800] "GET /collect?v=1&_v=j43&a=145830111&t=pageview&_s=3&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=338656945 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:15:52:16 +0800] "GET /collect?v=1&_v=j43&a=145830111&t=event&_s=4&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=banner&ea=show&el=https%3A%2F%2Fcn.udacity.com%2Fcourse%2Fblockchain-developer-nanodegree--nd1309%3Futm_source%3Djuejin-gold_browser_extension%26utm_medium%3Dbanner%26utm_campaign%3Dbdnd&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=736676734 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:15:52:16 +0800] "GET /collect?v=1&_v=j43&a=145830111&t=event&_s=5&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=banner&ea=show&el=https%3A%2F%2Fcn.udacity.com%2Fcourse%2Fblockchain-developer-nanodegree--nd1309%3Futm_source%3Djuejin-gold_browser_extension%26utm_medium%3Dbanner%26utm_campaign%3Dbdnd&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=1657606041 HTTP/1.1" 404 139
